R1,R2,C1,High,Low,Relative Closeness (High),Relative Closeness (Low)
22000,470000,1.5µF,0.511434,0.488565,0.02286800000000011,0.022869999999999946
15000,220000,3.0µF,0.488565,0.45738,0.022869999999999946,0.08523999999999998
22000,330000,2.0µF,0.4878719999999999,0.4573799999999999,0.024256000000000166,0.0852400000000002
22000,150000,4.3µF,0.5125427999999999,0.4469849999999999,0.025085599999999708,0.10603000000000018
3300,100000,6.8µF,0.4867909199999999,0.47123999999999994,0.02641816000000019,0.05752000000000013
6800,330000,2.2µF,0.51348528,0.503118,0.026970560000000088,0.006235999999999908
100000,470000,1.3µF,0.513513,0.423423,0.027025999999999994,0.153154
22000,680000,1.0µF,0.4864859999999999,0.47123999999999994,0.027028000000000163,0.05752000000000013
4700,220000,3.3µF,0.5138664299999999,0.503118,0.02773285999999975,0.006235999999999908
68000,470000,1.3µF,0.4846842,0.423423,0.03063159999999998,0.153154
10000,100000,6.8µF,0.5183639999999999,0.47123999999999994,0.03672799999999987,0.05752000000000013
10000,330000,2.2µF,0.5183639999999999,0.503118,0.03672799999999987,0.006235999999999908
68000,680000,1.0µF,0.5183639999999999,0.47123999999999994,0.03672799999999987,0.05752000000000013
15000,680000,1.0µF,0.4816349999999999,0.47123999999999994,0.03673000000000015,0.05752000000000013
10,680000,1.1µF,0.5183716230000001,0.5183639999999999,0.03674324600000012,0.03672799999999987
15,680000,1.1µF,0.5183754345,0.5183639999999999,0.03675086900000002,0.03672799999999987
22,680000,1.1µF,0.5183807706,0.5183639999999999,0.03676154119999997,0.03672799999999987
33,680000,1.1µF,0.5183891559,0.5183639999999999,0.03677831180000002,0.03672799999999987
2200,100000,6.8µF,0.4816072799999999,0.47123999999999994,0.03678544000000017,0.05752000000000013
47,680000,1.1µF,0.5183998281,0.5183639999999999,0.03679965619999992,0.03672799999999987
68,680000,1.1µF,0.5184158364,0.5183639999999999,0.03683167279999999,0.03672799999999987
100,680000,1.1µF,0.5184402300000001,0.5183639999999999,0.036880460000000115,0.03672799999999987
150,680000,1.1µF,0.518478345,0.5183639999999999,0.036956690000000014,0.03672799999999987
220,680000,1.1µF,0.518531706,0.5183639999999999,0.03706341199999996,0.03672799999999987
330,680000,1.1µF,0.518615559,0.5183639999999999,0.03723111800000001,0.03672799999999987
6800,220000,3.3µF,0.51866892,0.503118,0.037337839999999956,0.006235999999999908
470,680000,1.1µF,0.518722281,0.5183639999999999,0.037444561999999904,0.03672799999999987
680,680000,1.1µF,0.518882364,0.5183639999999999,0.03776472799999997,0.03672799999999987
1000,680000,1.1µF,0.5191262999999999,0.5183639999999999,0.03825259999999986,0.03672799999999987
1500,680000,1.1µF,0.51950745,0.5183639999999999,0.039014899999999963,0.03672799999999987
10,100000,7.5µF,0.5198019749999999,0.5197499999999999,0.03960394999999983,0.03949999999999987
15,100000,7.5µF,0.5198279624999999,0.5197499999999999,0.0396559249999997,0.03949999999999987
22,100000,7.5µF,0.5198643449999999,0.5197499999999999,0.03972868999999979,0.03949999999999987
33,100000,7.5µF,0.5199215174999999,0.5197499999999999,0.03984303499999986,0.03949999999999987
47,100000,7.5µF,0.5199942824999999,0.5197499999999999,0.03998856499999981,0.03949999999999987
2200,680000,1.1µF,0.52004106,0.5183639999999999,0.04008212000000011,0.03672799999999987
68,100000,7.5µF,0.5201034299999999,0.5197499999999999,0.040206859999999844,0.03949999999999987
100,100000,7.5µF,0.5202697499999999,0.5197499999999999,0.04053949999999973,0.03949999999999987
150,100000,7.5µF,0.5205296249999999,0.5197499999999999,0.04105924999999977,0.03949999999999987
3300,680000,1.1µF,0.52087959,0.5183639999999999,0.041759179999999896,0.03672799999999987
220,100000,7.5µF,0.5208934499999999,0.5197499999999999,0.04178689999999974,0.03949999999999987
10000,150000,4.7µF,0.5211359999999999,0.4885649999999999,0.042271999999999865,0.022870000000000168
10,470000,1.6µF,0.521147088,0.5211359999999999,0.04229417599999996,0.042271999999999865
15,470000,1.6µF,0.521152632,0.5211359999999999,0.0423052639999999,0.042271999999999865
22,470000,1.6µF,0.5211603936,0.5211359999999999,0.04232078719999999,0.042271999999999865
33,470000,1.6µF,0.5211725903999999,0.5211359999999999,0.042345180799999715,0.042271999999999865
47,470000,1.6µF,0.5211881136,0.5211359999999999,0.042376227199999894,0.042271999999999865
68,470000,1.6µF,0.5212113983999999,0.5211359999999999,0.04242279679999972,0.042271999999999865
100,470000,1.6µF,0.52124688,0.5211359999999999,0.042493759999999936,0.042271999999999865
150,470000,1.6µF,0.5213023199999999,0.5211359999999999,0.04260463999999975,0.042271999999999865
220,470000,1.6µF,0.5213799359999999,0.5211359999999999,0.042759871999999755,0.042271999999999865
330,100000,7.5µF,0.5214651749999999,0.5197499999999999,0.042930349999999784,0.03949999999999987
330,470000,1.6µF,0.521501904,0.5211359999999999,0.04300380799999992,0.042271999999999865
470,470000,1.6µF,0.521657136,0.5211359999999999,0.04331427199999993,0.042271999999999865
1500,100000,6.8µF,0.4783086,0.47123999999999994,0.043382800000000055,0.05752000000000013
10000,220000,3.0µF,0.47817000000000004,0.45738,0.04365999999999992,0.08523999999999998
10000,680000,1.0µF,0.47816999999999993,0.47123999999999994,0.04366000000000014,0.05752000000000013
15000,330000,2.0µF,0.47816999999999993,0.4573799999999999,0.04366000000000014,0.0852400000000002
680,470000,1.6µF,0.521889984,0.5211359999999999,0.04377996799999995,0.042271999999999865
4700,680000,1.1µF,0.52194681,0.5183639999999999,0.04389361999999997,0.03672799999999987
470,100000,7.5µF,0.5221928249999999,0.5197499999999999,0.04438564999999972,0.03949999999999987
1000,470000,1.6µF,0.5222448,0.5211359999999999,0.04448959999999991,0.042271999999999865
47000,330000,2.0µF,0.5225219999999999,0.4573799999999999,0.04504399999999986,0.0852400000000002
1500,470000,1.6µF,0.5227992,0.5211359999999999,0.04559840000000004,0.042271999999999865
33000,470000,1.5µF,0.5228685,0.488565,0.04573699999999992,0.022869999999999946
10000,150000,4.3µF,0.4767839999999999,0.4469849999999999,0.04643200000000025,0.10603000000000018
680,100000,7.5µF,0.5232842999999999,0.5197499999999999,0.04656859999999985,0.03949999999999987
15000,68000,9.1µF,0.5234228999999999,0.42882839999999994,0.046845799999999826,0.14234320000000011
6800,680000,1.1µF,0.52354764,0.5183639999999999,0.04709527999999996,0.03672799999999987
2200,470000,1.6µF,0.5235753599999999,0.5211359999999999,0.04715071999999987,0.042271999999999865
1000,100000,6.8µF,0.47595239999999994,0.47123999999999994,0.048095200000000116,0.05752000000000013
6800,680000,1.0µF,0.47595239999999994,0.47123999999999994,0.048095200000000116,0.05752000000000013
22000,100000,6.2µF,0.5241852,0.42966,0.048370400000000036,0.14068000000000003
3300,470000,1.6µF,0.5247950399999999,0.5211359999999999,0.04959007999999976,0.042271999999999865
1000,100000,7.5µF,0.5249474999999999,0.5197499999999999,0.0498949999999998,0.03949999999999987
4700,680000,1.0µF,0.47449709999999995,0.47123999999999994,0.0510058000000001,0.05752000000000013
680,100000,6.8µF,0.47444443199999986,0.47123999999999994,0.05111113600000028,0.05752000000000013
10000,220000,3.3µF,0.525987,0.503118,0.051973999999999965,0.006235999999999908
10000,680000,1.1µF,0.525987,0.5183639999999999,0.051973999999999965,0.03672799999999987
15000,330000,2.2µF,0.525987,0.503118,0.051973999999999965,0.006235999999999908
33000,220000,3.0µF,0.525987,0.45738,0.051973999999999965,0.08523999999999998
4700,470000,1.6µF,0.5263473599999999,0.5211359999999999,0.05269471999999986,0.042271999999999865
3300,680000,1.0µF,0.4735268999999999,0.47123999999999994,0.052946200000000165,0.05752000000000013
470,100000,6.8µF,0.4734548279999999,0.47123999999999994,0.053090344000000234,0.05752000000000013
33000,220000,2.7µF,0.4733883,0.411642,0.05322340000000003,0.17671599999999998
330,100000,6.8µF,0.47279509199999986,0.47123999999999994,0.05440981600000028,0.05752000000000013
2200,680000,1.0µF,0.4727646,0.47123999999999994,0.05447080000000004,0.05752000000000013
10000,100000,6.2µF,0.472626,0.42966,0.05474800000000002,0.14068000000000003
1500,100000,7.5µF,0.52754625,0.5197499999999999,0.05509249999999999,0.03949999999999987
1500,680000,1.0µF,0.4722794999999999,0.47123999999999994,0.055441000000000185,0.05752000000000013
220,100000,6.8µF,0.47227672799999987,0.47123999999999994,0.055446544000000264,0.05752000000000013
150,100000,6.8µF,0.4719468599999999,0.47123999999999994,0.056106280000000175,0.05752000000000013
1000,680000,1.0µF,0.47193299999999994,0.47123999999999994,0.05613400000000013,0.05752000000000013
680,680000,1.0µF,0.47171124,0.47123999999999994,0.05657752000000005,0.05752000000000013
6800,68000,9.1µF,0.4717112399999999,0.42882839999999994,0.05657752000000016,0.14234320000000011
100,100000,6.8µF,0.47171123999999987,0.47123999999999994,0.05657752000000027,0.05752000000000013
470,680000,1.0µF,0.4715657099999999,0.47123999999999994,0.05686858000000017,0.05752000000000013
68,100000,6.8µF,0.4715604431999999,0.47123999999999994,0.0568791136000002,0.05752000000000013
6800,220000,3.0µF,0.47151719999999997,0.45738,0.05696560000000006,0.08523999999999998
330,680000,1.0µF,0.4714686899999999,0.47123999999999994,0.057062620000000175,0.05752000000000013
47,100000,6.8µF,0.47146148279999994,0.47123999999999994,0.057077034400000115,0.05752000000000013
33,100000,6.8µF,0.4713955091999999,0.47123999999999994,0.05720898160000021,0.05752000000000013
220,680000,1.0µF,0.47139245999999996,0.47123999999999994,0.057215080000000085,0.05752000000000013
150,680000,1.0µF,0.47134394999999996,0.47123999999999994,0.05731210000000009,0.05752000000000013
22,100000,6.8µF,0.47134367279999995,0.47123999999999994,0.05731265440000011,0.05752000000000013
6800,470000,1.6µF,0.5286758399999999,0.5211359999999999,0.057351679999999794,0.042271999999999865
15,100000,6.8µF,0.47131068599999987,0.47123999999999994,0.057378628000000265,0.05752000000000013
100,680000,1.0µF,0.4713093,0.47123999999999994,0.05738140000000003,0.05752000000000013
68,680000,1.0µF,0.47128712399999995,0.47123999999999994,0.05742575200000011,0.05752000000000013
10,100000,6.8µF,0.4712871239999999,0.47123999999999994,0.05742575200000022,0.05752000000000013
47,680000,1.0µF,0.4712725709999999,0.47123999999999994,0.057454858000000164,0.05752000000000013
33,680000,1.0µF,0.4712628689999999,0.47123999999999994,0.057474262000000165,0.05752000000000013
22,680000,1.0µF,0.47125524599999996,0.47123999999999994,0.05748950800000008,0.05752000000000013
15,680000,1.0µF,0.47125039499999993,0.47123999999999994,0.057499210000000134,0.05752000000000013
10,680000,1.0µF,0.47124692999999995,0.47123999999999994,0.057506140000000094,0.05752000000000013
10000,330000,2.0µF,0.47123999999999994,0.4573799999999999,0.05752000000000013,0.0852400000000002
47000,330000,1.8µF,0.4702697999999999,0.41164199999999995,0.05946040000000019,0.1767160000000001
15000,680000,1.1µF,0.5297985,0.5183639999999999,0.0595969999999999,0.03672799999999987
10,150000,5.1µF,0.5301803429999999,0.5301449999999999,0.060360685999999886,0.06028999999999973
15,150000,5.1µF,0.5301980144999999,0.5301449999999999,0.06039602899999985,0.06028999999999973
22,150000,5.1µF,0.5302227545999999,0.5301449999999999,0.0604455091999998,0.06028999999999973
33,150000,5.1µF,0.5302616318999999,0.5301449999999999,0.06052326379999973,0.06028999999999973
47,150000,5.1µF,0.5303111120999999,0.5301449999999999,0.06062222419999985,0.06028999999999973
68,150000,5.1µF,0.5303853324,0.5301449999999999,0.06077066479999993,0.06028999999999973
100,150000,5.1µF,0.5304984299999999,0.5301449999999999,0.06099685999999971,0.06028999999999973
150,150000,5.1µF,0.5306751449999999,0.5301449999999999,0.06135028999999981,0.06028999999999973
220,150000,5.1µF,0.5309225459999999,0.5301449999999999,0.06184509199999977,0.06028999999999973
2200,100000,7.5µF,0.5311844999999998,0.5197499999999999,0.062368999999999675,0.03949999999999987
330,150000,5.1µF,0.5313113189999998,0.5301449999999999,0.06262263799999968,0.06028999999999973
